Node Number	X Location (m)	Y Location (m)	Z Location (m)	
245	2.4293e-005	0.	7.3736e-004	
246	-3.232e-005	0.	2.883e-004	
247	-7.827e-004	0.	1.7506e-005	
248	-7.7302e-004	0.	-7.1379e-004	
249	7.8701e-004	0.	-7.0533e-004	
250	7.8095e-004	0.	-1.2039e-004	
251	3.2296e-004	0.	-6.681e-004	
252	-7.8543e-004	0.	6.3787e-004	
253	7.6338e-004	0.	1.0316e-004	
254	1.145e-004	0.	5.8775e-004	
255	8.0559e-004	0.	-4.2478e-004	
256	4.0069e-004	0.	-4.2267e-004	
257	-7.8524e-004	0.	-4.1353e-004	
258	-8.0634e-004	0.	-1.7486e-004	
259	-4.0278e-004	0.	-4.0741e-004	
260	9.9537e-005	0.	-1.8519e-004	
261	4.695e-006	0.	-4.6848e-004	
262	-2.4531e-004	0.	8.331e-004	
263	6.3156e-004	0.	8.4373e-004	
264	8.1197e-004	0.	8.2031e-004	
265	-3.1801e-004	0.	-5.6537e-004	
266	-6.5349e-004	0.	-5.3077e-004	
267	6.4448e-004	0.	-5.3495e-004	
268	2.0568e-004	0.	7.5191e-004	
269	-4.7283e-004	0.	-8.4317e-004	
270	-8.3112e-004	0.	8.2225e-004	
271	-1.5432e-004	0.	6.6667e-004	
272	-4.3069e-004	0.	-2.4091e-004	
273	-1.5046e-004	0.	-5.5556e-005	
274	4.614e-004	0.	-2.1892e-004	
275	5.9658e-004	0.	4.0085e-004	
276	8.3378e-004	0.	5.5862e-004	
277	-1.2456e-004	0.	-6.0422e-004	
278	-2.5905e-004	0.	-2.9742e-004	
279	2.4588e-004	0.	-3.0648e-004	
280	5.6758e-004	0.	-8.4301e-004	
281	-4.408e-004	0.	7.8009e-004	
282	1.8698e-004	0.	-3.4932e-005	
283	-6.3773e-004	0.	1.25e-004	
284	1.2189e-004	0.	2.057e-004	
285	4.0198e-004	0.	3.6525e-005	
286	2.8315e-004	0.	5.3022e-004	
287	-7.8554e-004	0.	1.1385e-004	
288	-1.0185e-004	0.	-9.1358e-004	
289	2.5998e-004	0.	-8.0484e-004	
290	4.8046e-004	0.	7.0253e-004	
291	4.7926e-004	0.	-8.1582e-004	
292	-5.6109e-004	0.	-8.035e-004	
